model_name,F1,ROC,acc-class-1,acc-class-2,TPR,FPR,AUC,THRE
SynClass,0.3333333333333333,0.5,0.5,,"[0.         0.         0.07142857 0.07142857 0.10714286 0.14285714
 0.14285714 0.17857143 0.17857143 0.21428571 0.21428571 0.35714286
 0.35714286 0.5        0.5        0.67857143 0.67857143 0.75
 0.75       0.82142857 0.82142857 0.89285714 0.89285714 0.92857143
 0.92857143 0.92857143 0.92857143 0.96428571 1.        ]","[0.         0.03571429 0.10714286 0.14285714 0.17857143 0.17857143
 0.21428571 0.21428571 0.25       0.25       0.28571429 0.28571429
 0.35714286 0.35714286 0.39285714 0.39285714 0.42857143 0.42857143
 0.53571429 0.53571429 0.57142857 0.57142857 0.60714286 0.60714286
 0.78571429 0.85714286 0.89285714 0.92857143 1.        ]",0.6058673469387754,-0.1
SynClass,0.3333333333333333,0.5,0.5,,"[0.         0.         0.07142857 0.07142857 0.10714286 0.14285714
 0.14285714 0.17857143 0.17857143 0.21428571 0.21428571 0.35714286
 0.35714286 0.5        0.5        0.67857143 0.67857143 0.75
 0.75       0.82142857 0.82142857 0.89285714 0.89285714 0.92857143
 0.92857143 0.92857143 0.92857143 0.96428571 1.        ]","[0.         0.03571429 0.10714286 0.14285714 0.17857143 0.17857143
 0.21428571 0.21428571 0.25       0.25       0.28571429 0.28571429
 0.35714286 0.35714286 0.39285714 0.39285714 0.42857143 0.42857143
 0.53571429 0.53571429 0.57142857 0.57142857 0.60714286 0.60714286
 0.78571429 0.85714286 0.89285714 0.92857143 1.        ]",0.6058673469387754,-0.09000000000000001
SynClass,0.3333333333333333,0.5,0.5,,"[0.         0.         0.07142857 0.07142857 0.10714286 0.14285714
 0.14285714 0.17857143 0.17857143 0.21428571 0.21428571 0.35714286
 0.35714286 0.5        0.5        0.67857143 0.67857143 0.75
 0.75       0.82142857 0.82142857 0.89285714 0.89285714 0.92857143
 0.92857143 0.92857143 0.92857143 0.96428571 1.        ]","[0.         0.03571429 0.10714286 0.14285714 0.17857143 0.17857143
 0.21428571 0.21428571 0.25       0.25       0.28571429 0.28571429
 0.35714286 0.35714286 0.39285714 0.39285714 0.42857143 0.42857143
 0.53571429 0.53571429 0.57142857 0.57142857 0.60714286 0.60714286
 0.78571429 0.85714286 0.89285714 0.92857143 1.        ]",0.6058673469387754,-0.08000000000000002
SynClass,0.3333333333333333,0.5,0.5,,"[0.         0.         0.07142857 0.07142857 0.10714286 0.14285714
 0.14285714 0.17857143 0.17857143 0.21428571 0.21428571 0.35714286
 0.35714286 0.5        0.5        0.67857143 0.67857143 0.75
 0.75       0.82142857 0.82142857 0.89285714 0.89285714 0.92857143
 0.92857143 0.92857143 0.92857143 0.96428571 1.        ]","[0.         0.03571429 0.10714286 0.14285714 0.17857143 0.17857143
 0.21428571 0.21428571 0.25       0.25       0.28571429 0.28571429
 0.35714286 0.35714286 0.39285714 0.39285714 0.42857143 0.42857143
 0.53571429 0.53571429 0.57142857 0.57142857 0.60714286 0.60714286
 0.78571429 0.85714286 0.89285714 0.92857143 1.        ]",0.6058673469387754,-0.07000000000000002
SynClass,0.3333333333333333,0.5,0.5,,"[0.         0.         0.07142857 0.07142857 0.10714286 0.14285714
 0.14285714 0.17857143 0.17857143 0.21428571 0.21428571 0.35714286
 0.35714286 0.5        0.5        0.67857143 0.67857143 0.75
 0.75       0.82142857 0.82142857 0.89285714 0.89285714 0.92857143
 0.92857143 0.92857143 0.92857143 0.96428571 1.        ]","[0.         0.03571429 0.10714286 0.14285714 0.17857143 0.17857143
 0.21428571 0.21428571 0.25       0.25       0.28571429 0.28571429
 0.35714286 0.35714286 0.39285714 0.39285714 0.42857143 0.42857143
 0.53571429 0.53571429 0.57142857 0.57142857 0.60714286 0.60714286
 0.78571429 0.85714286 0.89285714 0.92857143 1.        ]",0.6058673469387754,-0.060000000000000026
SynClass,0.3333333333333333,0.5,0.5,,"[0.         0.         0.07142857 0.07142857 0.10714286 0.14285714
 0.14285714 0.17857143 0.17857143 0.21428571 0.21428571 0.35714286
 0.35714286 0.5        0.5        0.67857143 0.67857143 0.75
 0.75       0.82142857 0.82142857 0.89285714 0.89285714 0.92857143
 0.92857143 0.92857143 0.92857143 0.96428571 1.        ]","[0.         0.03571429 0.10714286 0.14285714 0.17857143 0.17857143
 0.21428571 0.21428571 0.25       0.25       0.28571429 0.28571429
 0.35714286 0.35714286 0.39285714 0.39285714 0.42857143 0.42857143
 0.53571429 0.53571429 0.57142857 0.57142857 0.60714286 0.60714286
 0.78571429 0.85714286 0.89285714 0.92857143 1.        ]",0.6058673469387754,-0.05000000000000003
SynClass,0.3333333333333333,0.5,0.5,,"[0.         0.         0.07142857 0.07142857 0.10714286 0.14285714
 0.14285714 0.17857143 0.17857143 0.21428571 0.21428571 0.35714286
 0.35714286 0.5        0.5        0.67857143 0.67857143 0.75
 0.75       0.82142857 0.82142857 0.89285714 0.89285714 0.92857143
 0.92857143 0.92857143 0.92857143 0.96428571 1.        ]","[0.         0.03571429 0.10714286 0.14285714 0.17857143 0.17857143
 0.21428571 0.21428571 0.25       0.25       0.28571429 0.28571429
 0.35714286 0.35714286 0.39285714 0.39285714 0.42857143 0.42857143
 0.53571429 0.53571429 0.57142857 0.57142857 0.60714286 0.60714286
 0.78571429 0.85714286 0.89285714 0.92857143 1.        ]",0.6058673469387754,-0.040000000000000036
SynClass,0.3333333333333333,0.5,0.5,,"[0.         0.         0.07142857 0.07142857 0.10714286 0.14285714
 0.14285714 0.17857143 0.17857143 0.21428571 0.21428571 0.35714286
 0.35714286 0.5        0.5        0.67857143 0.67857143 0.75
 0.75       0.82142857 0.82142857 0.89285714 0.89285714 0.92857143
 0.92857143 0.92857143 0.92857143 0.96428571 1.        ]","[0.         0.03571429 0.10714286 0.14285714 0.17857143 0.17857143
 0.21428571 0.21428571 0.25       0.25       0.28571429 0.28571429
 0.35714286 0.35714286 0.39285714 0.39285714 0.42857143 0.42857143
 0.53571429 0.53571429 0.57142857 0.57142857 0.60714286 0.60714286
 0.78571429 0.85714286 0.89285714 0.92857143 1.        ]",0.6058673469387754,-0.03000000000000004
SynClass,0.3333333333333333,0.5,0.5,,"[0.         0.         0.07142857 0.07142857 0.10714286 0.14285714
 0.14285714 0.17857143 0.17857143 0.21428571 0.21428571 0.35714286
 0.35714286 0.5        0.5        0.67857143 0.67857143 0.75
 0.75       0.82142857 0.82142857 0.89285714 0.89285714 0.92857143
 0.92857143 0.92857143 0.92857143 0.96428571 1.        ]","[0.         0.03571429 0.10714286 0.14285714 0.17857143 0.17857143
 0.21428571 0.21428571 0.25       0.25       0.28571429 0.28571429
 0.35714286 0.35714286 0.39285714 0.39285714 0.42857143 0.42857143
 0.53571429 0.53571429 0.57142857 0.57142857 0.60714286 0.60714286
 0.78571429 0.85714286 0.89285714 0.92857143 1.        ]",0.6058673469387754,-0.020000000000000046
SynClass,0.3333333333333333,0.5,0.5,,"[0.         0.         0.07142857 0.07142857 0.10714286 0.14285714
 0.14285714 0.17857143 0.17857143 0.21428571 0.21428571 0.35714286
 0.35714286 0.5        0.5        0.67857143 0.67857143 0.75
 0.75       0.82142857 0.82142857 0.89285714 0.89285714 0.92857143
 0.92857143 0.92857143 0.92857143 0.96428571 1.        ]","[0.         0.03571429 0.10714286 0.14285714 0.17857143 0.17857143
 0.21428571 0.21428571 0.25       0.25       0.28571429 0.28571429
 0.35714286 0.35714286 0.39285714 0.39285714 0.42857143 0.42857143
 0.53571429 0.53571429 0.57142857 0.57142857 0.60714286 0.60714286
 0.78571429 0.85714286 0.89285714 0.92857143 1.        ]",0.6058673469387754,-0.01000000000000005
